dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
2,0.2,1,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[12  5  7  8  3 11  2  1 10 13  4  0 14  6  9],0.44761904761904764,91275
2,0.2,2,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 3  9  0  7 14 11  1  4 12 13  8  2  6 10  5],0.580952380952381,50362
2,0.2,3,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 9  4 11  2  5 14  7  1  8  0 13  3 10  6 12],0.5238095238095238,60663
2,0.2,4,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 8  1  9 12  0 11  4 13 10  2 14  6  3  7  5],0.6666666666666666,97074
2,0.2,5,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 7 13 10  0  9  2  4  5  8 12  1  3  6 14 11],0.5333333333333333,72949
2,0.2,6,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[14  4  0  1  6 10 13  9  8  3 11  2  7  5 12],0.5428571428571428,63227
2,0.2,7,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[13  2 10  0  1 12  4  8  5  7  9  3 11  6 14],0.580952380952381,54362
2,0.2,8,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  7  0  2  1 11  3  4 13  6  9  5 14  8 12],0.5904761904761905,55991
2,0.2,9,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10 13  7  9  4  8 14  1 12  3  2  0 11  6  5],0.6476190476190476,93507
2,0.5,0,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 11 10  0  9  4  2 12  7 14  3  5  8 13  6],0.8,27734
2,0.5,1,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 9 10  1 12  7 11 13  2 14  0  4  5  8  3  6],0.8476190476190476,81585
2,0.5,2,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[11  1 10  9  7 13  8  0  4 14  2 12  6  3  5],0.7904761904761904,67087
2,0.5,3,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  9  1  0 13 12  7 11  2  8  4  3 14  6  5],0.780952380952381,273
2,0.5,4,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 8 10  9 13 14 12  0  7 11  1  2  4  3  6  5],0.6857142857142857,39414
2,0.5,5,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 11 10  7  4 12 14  9 13  3  8  5  6  0  2],0.819047619047619,85740
2,0.5,6,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 2 10  9  4  1  7 12 14 11  0 13  3  6  8  5],0.7142857142857143,55431
2,0.5,7,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[13  1  9 10 12  4  7 11  0 14  3  8  2  5  6],0.819047619047619,3358
2,0.5,8,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  3  1 12 14  0 11  7  9  4  5  2  8  6 13],0.7428571428571429,76488
2,0.5,9,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  1 14 11  9 12 13  4  2  3  0  7  6  5  8],0.8571428571428571,72965
2,1.0,0,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  1 12 11  9  7 13  2 14  4  0  8  3  5  6],0.9047619047619048,84657
2,1.0,1,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  1 12 11 14 13  2  4  0  7  3  9  8  6  5],0.8476190476190476,17565
2,1.0,2,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 14 11 10 12  4  9  7 13  3  0  2  6  8  5],0.8666666666666667,8928
2,1.0,3,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10 12 11  0 14  9  7  2  4 13  3  5  6  8],0.8857142857142857,86317
2,1.0,4,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[12  1 10 11 14  0 13  4  2  7  9  5  3  8  6],0.8571428571428571,2210
2,1.0,5,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 9  1 10 12 11 14 13  2  0  7  4  3  8  6  5],0.9047619047619048,54146
2,1.0,6,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  9  1 11 12  0  7  4  2 14 13  3  8  5  6],0.8761904761904762,8039
2,1.0,7,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10 12 11  7 14  3  9 13  2  4  0  8  5  6],0.8761904761904762,29971
2,1.0,8,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10 12  1 11  9 13  4  7 14  2  0  3  6  8  5],0.8952380952380953,48106
2,1.0,9,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10 11  0 12 14 13  2  9  4  7  6  3  5  8],0.8571428571428571,42268
2,2.0,0,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10 11  9 12 14  7 13  0  4  2  3  8  6  5],0.9714285714285714,40323
2,2.0,1,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  1 11 12  9 14  4  0 13  2  7  3  8  5  6],0.9333333333333333,2831
2,2.0,2,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  1 11 12  9 14 13  7  0  4  2  3  5  8  6],0.9809523809523809,535
2,2.0,3,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10 11  9 13 14  4  2  0  7 12  3  8  5  6],0.8761904761904762,12428
2,2.0,4,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  1 11 12  9 13 14  7  4  0  2  3  8  5  6],0.9714285714285714,828
2,2.0,5,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10 11  9 12 14  2 13  4  7  0  3  8  6  5],0.9238095238095239,67062
2,2.0,6,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10  9 11 12 14 13  7  4  2  0  3  8  5  6],0.9619047619047619,52561
2,2.0,7,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  1 14 11  7  9 12  4 13  0  2  3  8  5  6],0.9047619047619048,64718
2,2.0,8,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1 10 12 11  9 14 13  4  7  0  2  3  8  5  6],0.9714285714285714,25729
