dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
1,0.5,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  1  6  2  8 10 12  7],0.9743589743589743,22715
1,0.5,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  6  1  2 10  7  8 12],0.9615384615384616,71417
1,0.5,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  7  8 12],0.9743589743589743,62318
1,0.5,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,4854
1,0.5,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,8401
1,0.5,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,37713
1,0.5,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5  3 11  9  1  6  2 10  8  7 12],0.9615384615384616,83264
1,1.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,40084
1,1.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10 12  7],0.9871794871794872,78709
1,1.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  6  1  2  8 10  7 12],0.9871794871794872,31646
1,1.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  6  1  2 10  7  8 12],0.9615384615384616,23936
1,1.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5  3 11  9  1  6  2 10  8  7 12],0.9615384615384616,79168
1,1.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,87648
1,1.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,7929
1,1.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,5856
1,1.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8  7 10 12],0.9871794871794872,67126
1,1.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,33611
1,2.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,57364
1,2.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,15027
